Location,Year,Total,Unsheltered,Percentage
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2013,1690,49,2.8994
"Dekalb City & County CoC",2013,107,3,2.8037
"Gloucester, Haverhill, Salem/Essex County CoC",2013,1286,36,2.7994
"Worcester City & County CoC",2014,1796,49,2.7283
"McHenry County CoC",2013,185,5,2.7027
"Harford County CoC",2014,223,6,2.6906
"Lynn CoC",2014,382,10,2.6178
"Somerville CoC",2014,154,4,2.5974
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2014,1643,40,2.4346
"Joliet, Bolingbrook/Will County CoC",2013,288,7,2.4306
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",2012,376,9,2.3936
"Delaware Statewide CoC",2012,1008,22,2.1825
"Massachusetts Balance of State CoC",2013,2652,57,2.1493
"Springfield/Hampden County CoC",2013,2117,45,2.1256
"Florence/Northwest Alabama CoC",2012,192,4,2.0833
"Massachusetts Balance of State CoC",2012,1872,37,1.9765
"Massachusetts Balance of State CoC",2014,3900,62,1.5897
"Southeast Arkansas CoC",2013,64,1,1.5625
"McHenry County CoC",2012,196,3,1.5306
"Springfield/Hampden County CoC",2012,2444,35,1.4321
"Springfield/Hampden County CoC",2014,2690,35,1.3011
"Augusta-Richmond County CoC",2012,396,5,1.2626
"Waukegan, North Chicago/Lake County CoC",2014,409,5,1.2225
"Waukegan, North Chicago/Lake County CoC",2012,450,5,1.1111
"Delaware Statewide CoC",2013,946,10,1.0571
"Waukegan, North Chicago/Lake County CoC",2013,497,5,1.0060
"Rock Island, Moline/Northwestern Illinois CoC",2014,218,1,0.4587
"Rock Island, Moline/Northwestern Illinois CoC",2013,219,1,0.4566
"Southeast Arkansas CoC",2014,70,0,0.0000
"Southeast Arkansas CoC",2012,64,0,0.0000
"South Central Illinois CoC",2012,124,0,0.0000
