Location,Year,Total,Transitional_Housing,Percentage
"Rockford/Winnebago, Boone Counties CoC",2012,727,308,42.37
"Alabama Balance of State CoC",2014,716,303,42.32
"Joliet, Bolingbrook/Will County CoC",2014,309,129,41.75
"Louisville-Jefferson County CoC",2013,1445,603,41.73
"Fall River CoC",2013,235,98,41.70
"Colorado Springs/El Paso County CoC",2014,1219,507,41.59
"Idaho Balance of State CoC",2013,1087,452,41.58
"Ft Lauderdale/Broward County CoC",2013,2810,1168,41.57
"Alexandria/Central Louisiana CoC",2013,118,49,41.53
"Tucson/Pima County CoC",2012,2366,980,41.42
"Palm Bay, Melbourne/Brevard County CoC",2013,1567,647,41.29
"Tucson/Pima County CoC",2013,2238,923,41.24
"El Dorado County CoC",2014,195,80,41.03
"Cumberland/Allegany County CoC",2012,110,45,40.91
"Marin County CoC",2012,725,295,40.69
"Idaho Balance of State CoC",2012,1214,493,40.61
"Shreveport, Bossier/Northwest Louisiana CoC",2013,692,281,40.61
"Springfield/Sangamon County CoC",2014,269,109,40.52
"Fall River CoC",2012,307,124,40.39
"Pensacola/Escambia, Santa Rosa Counties CoC",2014,843,340,40.33
"South Central Illinois CoC",2012,124,50,40.32
"Metropolitan Denver CoC",2013,6316,2546,40.31
"Panama City/Bay, Jackson Counties CoC",2012,322,129,40.06
"Des Moines/Polk County CoC",2014,886,353,39.84
"Lakeland, Winterhaven/Polk County CoC",2013,520,207,39.81
"Colorado Springs/El Paso County CoC",2013,1171,464,39.62
"DeKalb County CoC",2014,801,317,39.58
"Tallahassee/Leon County CoC",2013,974,382,39.22
"Indiana Balance of State CoC",2012,4612,1807,39.18
"Gadsden/Northeast Alabama CoC",2012,544,213,39.15
"Louisville-Jefferson County CoC",2014,1316,512,38.91
"San Diego City and County CoC",2014,8506,3291,38.69
"Phoenix, Mesa/Maricopa County CoC",2014,5918,2282,38.56
"Miami-Dade County CoC",2013,3802,1466,38.56
"Tallahassee/Leon County CoC",2014,805,310,38.51
"Harford County CoC",2013,166,63,37.95
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2013,1469,556,37.85
"Cambridge CoC",2013,535,202,37.76
"Augusta-Richmond County CoC",2012,396,149,37.63
"Dekalb City & County CoC",2012,125,47,37.60
"Indiana Balance of State CoC",2013,4497,1691,37.60
"Cambridge CoC",2014,551,207,37.57
"Vallejo/Solano County CoC",2012,622,233,37.46
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2014,1329,497,37.40
"Colorado Springs/El Paso County CoC",2012,1127,421,37.36
"San Diego City and County CoC",2013,8879,3311,37.29
"Sacramento City & County CoC",2013,2538,944,37.19
"Indianapolis CoC",2013,1599,594,37.15
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2012,1707,630,36.91
"Orlando/Orange, Osceola, Seminole Counties CoC",2012,3661,1345,36.74
"Indianapolis CoC",2012,1647,604,36.67
"Stockton/San Joaquin County CoC",2014,1588,581,36.59
"Phoenix, Mesa/Maricopa County CoC",2012,6485,2368,36.52
"Somerville CoC",2014,154,56,36.36
"Rockford/Winnebago, Boone Counties CoC",2014,410,149,36.34
"Sacramento City & County CoC",2014,2449,889,36.30
"Sacramento City & County CoC",2012,2812,1018,36.20
"Somerville CoC",2013,169,61,36.09
"District of Columbia CoC",2012,6954,2503,35.99
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",2014,405,145,35.80
"Phoenix, Mesa/Maricopa County CoC",2013,5889,2106,35.76
"Southern Illinois CoC",2014,325,116,35.69
"Davis, Woodland/Yolo County CoC",2013,474,169,35.65
"Boise/Ada County CoC",2014,753,268,35.59
"Rockford/Winnebago, Boone Counties CoC",2013,788,280,35.53
"Naples/Collier County CoC",2014,361,128,35.46
"Palm Bay, Melbourne/Brevard County CoC",2014,1477,522,35.34
"Anchorage CoC",2013,1122,394,35.12
"Augusta-Richmond County CoC",2013,476,167,35.08
"Harford County CoC",2012,189,66,34.92
"Visalia/Kings, Tulare Counties CoC",2012,771,269,34.89
"Ft Lauderdale/Broward County CoC",2012,3183,1108,34.81
"Little Rock/Central Arkansas CoC",2012,1249,433,34.67
"Jacksonville-Duval, Clay Counties CoC",2014,2049,706,34.46
"Miami-Dade County CoC",2012,3976,1368,34.41
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",2012,376,129,34.31
"Anchorage CoC",2012,1147,393,34.26
"District of Columbia CoC",2013,6865,2343,34.13
"Idaho Balance of State CoC",2014,1351,461,34.12
"Naples/Collier County CoC",2013,396,135,34.09
"Harford County CoC",2014,223,76,34.08
"Santa Ana, Anaheim/Orange County CoC",2014,3833,1304,34.02
"Pensacola/Escambia, Santa Rosa Counties CoC",2013,945,321,33.97
"Ft Lauderdale/Broward County CoC",2014,2766,935,33.80
"Stockton/San Joaquin County CoC",2013,1541,518,33.61
"Santa Ana, Anaheim/Orange County CoC",2013,4251,1428,33.59
"Indiana Balance of State CoC",2014,4081,1367,33.50
"Cumberland/Allegany County CoC",2014,120,40,33.33
"Fall River CoC",2014,354,117,33.05
"Worcester City & County CoC",2013,1657,546,32.95
"Worcester City & County CoC",2012,1572,518,32.95
"San Diego City and County CoC",2012,10013,3279,32.75
"El Dorado County CoC",2012,217,70,32.26
"Visalia/Kings, Tulare Counties CoC",2013,705,227,32.20
"East St. Louis, Belleville/St. Clair County CoC",2014,339,109,32.15
"Stockton/San Joaquin County CoC",2012,1569,503,32.06
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2012,921,295,32.03
"Delta Hills CoC",2013,254,81,31.89
"Miami-Dade County CoC",2014,4156,1325,31.88
"Cambridge CoC",2012,485,153,31.55
"Fayetteville/Northwest Arkansas CoC",2014,551,173,31.40
"Orlando/Orange, Osceola, Seminole Counties CoC",2013,4378,1368,31.25
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",2014,1633,506,30.99
"Atlanta CoC",2012,6811,2096,30.77
"Southern Illinois CoC",2013,338,104,30.77
"Ocala/Marion County CoC",2013,530,162,30.57
"Naples/Collier County CoC",2012,455,139,30.55
"Decatur/Macon County CoC",2013,247,75,30.36
"Waukegan, North Chicago/Lake County CoC",2013,497,150,30.18
"New Orleans/Jefferson Parish CoC",2013,2337,705,30.17
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",2012,902,272,30.16
"Aurora, Elgin/Kane County CoC",2012,431,130,30.16
"Attleboro, Taunton/Bristol County CoC",2012,249,75,30.12
"Davis, Woodland/Yolo County CoC",2014,442,133,30.09
"Baltimore CoC",2012,3854,1154,29.94
"Little Rock/Central Arkansas CoC",2013,1066,319,29.92
"Atlanta CoC",2014,4797,1434,29.89
"Boise/Ada County CoC",2013,694,207,29.83
"Anchorage CoC",2014,1023,305,29.81
"Visalia/Kings, Tulare Counties CoC",2014,763,225,29.49
"Jacksonville-Duval, Clay Counties CoC",2013,2768,815,29.44
"Connecticut Balance of State CoC",2012,3307,971,29.36
"Decatur/Macon County CoC",2014,256,75,29.30
"Tampa/Hillsborough County CoC",2013,1909,559,29.28
"Mobile City & County/Baldwin County CoC",2014,598,174,29.10
"Boise/Ada County CoC",2012,754,219,29.05
"Decatur/Macon County CoC",2012,210,61,29.05
"Roseville, Rocklin/Placer, Nevada Counties CoC",2012,742,215,28.98
"Ft Myers, Cape Coral/Lee County CoC",2012,781,226,28.94
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2013,851,244,28.67
"Daly/San Mateo County CoC",2012,1845,527,28.56
"Davis, Woodland/Yolo County CoC",2012,513,146,28.46
"Glendale CoC",2012,299,85,28.43
"Augusta-Richmond County CoC",2014,472,134,28.39
"Yuba City & County/Sutter County CoC",2012,492,139,28.25
"New Orleans/Jefferson Parish CoC",2014,1981,555,28.02
"Colusa, Glenn, Trinity Counties CoC",2012,303,84,27.72
"Oakland, Berkeley/Alameda County CoC",2012,4257,1179,27.70
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",2013,396,109,27.53
"Tampa/Hillsborough County CoC",2014,1944,532,27.37
"Glendale CoC",2013,318,87,27.36
"Massachusetts Balance of State CoC",2012,1872,505,26.98
"Glendale CoC",2014,292,78,26.71
"Aurora, Elgin/Kane County CoC",2013,451,120,26.61
"San Bernardino City & County CoC",2014,2315,614,26.52
"Lynn CoC",2013,468,124,26.50
"Alabama Balance of State CoC",2013,905,239,26.41
"Connecticut Balance of State CoC",2013,3389,889,26.23
"Cape Cod Islands CoC",2012,364,95,26.10
"Attleboro, Taunton/Bristol County CoC",2014,222,57,25.68
"Alaska Balance of State CoC",2014,761,195,25.62
"Alaska Balance of State CoC",2013,824,210,25.49
"Ft Myers, Cape Coral/Lee County CoC",2013,848,216,25.47
"Wichita/Sedgwick County CoC",2013,538,137,25.46
"Kentucky Balance of State CoC",2013,2392,604,25.25
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",2013,2176,545,25.05
"Punta Gorda/Charlotte County CoC",2014,511,127,24.85
"Kentucky Balance of State CoC",2012,2328,572,24.57
"Jacksonville-Duval, Clay Counties CoC",2012,2861,700,24.47
"Oakland, Berkeley/Alameda County CoC",2014,4272,1040,24.34
"Southern Illinois CoC",2012,411,100,24.33
"Palm Bay, Melbourne/Brevard County CoC",2012,2062,501,24.30
"Attleboro, Taunton/Bristol County CoC",2013,251,61,24.30
"Turlock, Modesto/Stanislaus County CoC",2012,1470,357,24.29
"Bloomington/Central Illinois CoC",2013,536,130,24.25
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2014,3391,819,24.15
"Annapolis/Anne Arundel County CoC",2012,373,90,24.13
"Alaska Balance of State CoC",2012,766,184,24.02
"San Bernardino City & County CoC",2013,2321,556,23.96
"Oakland, Berkeley/Alameda County CoC",2013,4264,1013,23.76
"East St. Louis, Belleville/St. Clair County CoC",2012,451,107,23.73
"Howard County CoC",2013,194,46,23.71
"Napa City & County CoC",2013,245,58,23.67
"Connecticut Balance of State CoC",2014,3367,797,23.67
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",2013,1059,250,23.61
"Savannah/Chatham County CoC",2013,1165,274,23.52
"Colorado Balance of State CoC",2013,2267,533,23.51
"Somerville CoC",2012,145,34,23.45
"Imperial County CoC",2013,252,59,23.41
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",2014,1083,253,23.36
"Athens-Clarke County CoC",2012,361,84,23.27
"Colorado Balance of State CoC",2014,2188,509,23.26
"Waukegan, North Chicago/Lake County CoC",2012,450,104,23.11
"Hawaii Balance of State CoC",2013,1779,410,23.05
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2014,1377,317,23.02
"Turlock, Modesto/Stanislaus County CoC",2014,1156,266,23.01
"Santa Maria/Santa Barbara County CoC",2013,1882,433,23.01
"Hawaii Balance of State CoC",2012,1893,434,22.93
"Citrus, Hernando, Lake, Sumter Counties CoC",2014,511,117,22.90
"Daly/San Mateo County CoC",2013,1995,456,22.86
"Boston CoC",2012,5607,1278,22.79
"Boston CoC",2013,5881,1338,22.75
"Savannah/Chatham County CoC",2012,1118,253,22.63
"Santa Ana, Anaheim/Orange County CoC",2012,7010,1584,22.60
"Daly/San Mateo County CoC",2014,2024,454,22.43
"Ocala/Marion County CoC",2012,911,204,22.39
"Atlanta CoC",2013,5536,1239,22.38
"Arizona Balance of State CoC",2012,2451,536,21.87
"Athens-Clarke County CoC",2014,247,54,21.86
"Monroe County CoC",2014,678,148,21.83
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2013,1049,228,21.73
"Mobile City & County/Baldwin County CoC",2013,493,107,21.70
"Wichita/Sedgwick County CoC",2012,550,119,21.64
"West Palm Beach/Palm Beach County CoC",2013,1559,337,21.62
"Wichita/Sedgwick County CoC",2014,631,135,21.39
"Annapolis/Anne Arundel County CoC",2014,384,82,21.35
"Little Rock/Central Arkansas CoC",2014,1074,229,21.32
"Savannah/Chatham County CoC",2014,1315,280,21.29
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2014,382,81,21.20
"Los Angeles City & County CoC",2012,31553,6618,20.97
"Bloomington/Central Illinois CoC",2012,668,140,20.96
"Worcester City & County CoC",2014,1796,376,20.94
"Kentucky Balance of State CoC",2014,2229,466,20.91
"West Palm Beach/Palm Beach County CoC",2014,1596,333,20.86
"Roseville, Rocklin/Placer, Nevada Counties CoC",2013,908,189,20.81
"Napa City & County CoC",2014,285,59,20.70
"District of Columbia CoC",2014,7748,1598,20.62
"Hawaii Balance of State CoC",2014,2206,453,20.53
"Lakeland, Winterhaven/Polk County CoC",2014,536,110,20.52
"Ft Myers, Cape Coral/Lee County CoC",2014,871,178,20.44
"Topeka/Shawnee County CoC",2014,416,85,20.43
"Punta Gorda/Charlotte County CoC",2013,573,117,20.42
"Lowell CoC",2014,588,119,20.24
"Imperial County CoC",2014,298,60,20.13
"Aurora, Elgin/Kane County CoC",2014,405,81,20.00
"Howard County CoC",2014,170,34,20.00
"Fayetteville/Northwest Arkansas CoC",2013,668,133,19.91
"Lakeland, Winterhaven/Polk County CoC",2012,881,175,19.86
"Lowell CoC",2012,534,106,19.85
"Bakersfield/Kern County CoC",2014,992,195,19.66
"Long Beach CoC",2013,2847,555,19.49
"Arizona Balance of State CoC",2013,2435,471,19.34
"Massachusetts Balance of State CoC",2013,2652,513,19.34
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2013,3913,750,19.17
"Pasadena CoC",2014,666,127,19.07
"Lowell CoC",2013,559,106,18.96
"Napa City & County CoC",2012,248,47,18.95
"Oxnard, San Buenaventura/Ventura County CoC",2014,1428,268,18.77
"Monroe County CoC",2013,652,122,18.71
"Columbus-Muscogee/Russell County CoC",2013,294,55,18.71
"Vallejo/Solano County CoC",2013,1329,247,18.59
"Salinas/Monterey, San Benito Counties CoC",2012,2673,495,18.52
"Boston CoC",2014,5987,1108,18.51
"Turlock, Modesto/Stanislaus County CoC",2013,1201,219,18.23
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2012,3971,722,18.18
"Los Angeles City & County CoC",2013,35524,6445,18.14
"Riverside City & County CoC",2013,2978,540,18.13
"San Bernardino City & County CoC",2012,2532,458,18.09
"Chico, Paradise/Butte County CoC",2012,897,162,18.06
"Imperial County CoC",2012,239,43,17.99
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",2012,2384,422,17.70
"Mobile City & County/Baldwin County CoC",2012,634,112,17.67
"Vallejo/Solano County CoC",2014,1295,228,17.61
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2012,524,92,17.56
"Punta Gorda/Charlotte County CoC",2012,756,132,17.46
"Richmond/Contra Costa County CoC",2012,2386,413,17.31
"New Orleans/Jefferson Parish CoC",2012,4903,848,17.30
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2012,379,65,17.15
"Southeast Arkansas CoC",2014,70,12,17.14
"Oxnard, San Buenaventura/Ventura County CoC",2012,1926,323,16.77
"West Palm Beach/Palm Beach County CoC",2012,2116,353,16.68
"Long Beach CoC",2012,3170,528,16.66
"Citrus, Hernando, Lake, Sumter Counties CoC",2013,709,118,16.64
"Topeka/Shawnee County CoC",2013,439,73,16.63
"Humboldt County CoC",2014,932,154,16.52
"Gainesville/Alachua, Putnam Counties CoC",2014,1256,207,16.48
"Riverside City & County CoC",2014,2945,482,16.37
"Long Beach CoC",2014,2738,445,16.25
"Columbus-Muscogee/Russell County CoC",2012,333,54,16.22
"Los Angeles City & County CoC",2014,34393,5568,16.19
"Huntsville/North Alabama CoC",2014,536,86,16.04
"Salinas/Monterey, San Benito Counties CoC",2014,2962,469,15.83
"Huntsville/North Alabama CoC",2012,607,96,15.82
"Humboldt County CoC",2012,846,132,15.60
"Chico, Paradise/Butte County CoC",2013,712,110,15.45
"Cape Cod Islands CoC",2013,514,79,15.37
"Oxnard, San Buenaventura/Ventura County CoC",2013,1674,256,15.29
"Annapolis/Anne Arundel County CoC",2013,400,61,15.25
"Huntsville/North Alabama CoC",2013,586,89,15.19
"Santa Maria/Santa Barbara County CoC",2014,1832,278,15.17
"Fresno City & County/Madera County CoC",2014,2592,389,15.01
"Merced City & County CoC",2012,502,75,14.94
"Colusa, Glenn, Trinity Counties CoC",2014,567,84,14.81
"Bakersfield/Kern County CoC",2013,1152,169,14.67
"Chico, Paradise/Butte County CoC",2014,696,102,14.66
"Monroe County CoC",2012,922,134,14.53
"Pasadena CoC",2013,772,112,14.51
"Humboldt County CoC",2013,864,125,14.47
"Bloomington/Central Illinois CoC",2014,669,96,14.35
"San Jose/Santa Clara City & County CoC",2014,7567,1065,14.07
"Georgia Balance of State CoC",2013,7651,1069,13.97
"Topeka/Shawnee County CoC",2012,577,80,13.86
"Ocala/Marion County CoC",2014,918,127,13.83
"Arizona Balance of State CoC",2014,2398,330,13.76
"Lynn CoC",2014,382,52,13.61
"San Jose/Santa Clara City & County CoC",2012,7053,949,13.46
"San Jose/Santa Clara City & County CoC",2013,7631,1023,13.41
"Springfield/Hampden County CoC",2012,2444,326,13.34
"Salinas/Monterey, San Benito Counties CoC",2013,2955,394,13.33
"Santa Rosa, Petaluma/Sonoma County CoC",2012,4483,587,13.09
"Lynn CoC",2012,414,54,13.04
"Cape Cod Islands CoC",2014,381,49,12.86
"Richmond/Contra Costa County CoC",2013,2000,257,12.85
"Richmond/Contra Costa County CoC",2014,2009,257,12.79
"Colusa, Glenn, Trinity Counties CoC",2013,696,89,12.79
"Georgia Balance of State CoC",2014,7577,962,12.70
"Athens-Clarke County CoC",2013,213,27,12.68
"Fort Walton Beach/Okaloosa, Walton Counties CoC",2013,1658,210,12.67
"San Francisco CoC",2012,5895,742,12.59
"Pasadena CoC",2012,904,113,12.50
"Fresno City & County/Madera County CoC",2013,3131,388,12.39
"Gainesville/Alachua, Putnam Counties CoC",2013,1718,200,11.64
"Massachusetts Balance of State CoC",2014,3900,453,11.62
"Santa Maria/Santa Barbara County CoC",2012,1546,179,11.58
"Citrus, Hernando, Lake, Sumter Counties CoC",2012,1788,202,11.30
"Fresno City & County/Madera County CoC",2012,4492,506,11.26
"Columbus-Muscogee/Russell County CoC",2014,312,35,11.22
"St. Johns County CoC",2013,1437,161,11.20
"Bakersfield/Kern County CoC",2012,1352,151,11.17
