Location,Year,Total,Emergency_Shelters,Percentage
"Stockton/San Joaquin County CoC",2013,1541,760,49.32
"Kentucky Balance of State CoC",2014,2229,1093,49.04
"Tallahassee/Leon County CoC",2012,797,389,48.81
"Alabama Balance of State CoC",2012,886,431,48.65
"Des Moines/Polk County CoC",2014,886,431,48.65
"Kansas Balance of State CoC",2014,1307,635,48.58
"Napa City & County CoC",2013,245,119,48.57
"Arizona Balance of State CoC",2012,2451,1186,48.39
"Delaware Statewide CoC",2014,901,435,48.28
"Mobile City & County/Baldwin County CoC",2014,598,287,47.99
"Howard County CoC",2013,194,93,47.94
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",2014,1083,519,47.92
"Yuba City & County/Sutter County CoC",2014,726,347,47.80
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2012,524,250,47.71
"Napa City & County CoC",2014,285,135,47.37
"Miami-Dade County CoC",2014,4156,1965,47.28
"Sioux City/Dakota, Woodbury Counties CoC",2014,297,140,47.14
"Cape Cod Islands CoC",2013,514,242,47.08
"Kansas Balance of State CoC",2013,1141,537,47.06
"Southern Illinois CoC",2013,338,159,47.04
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",2013,1059,498,47.03
"Fayetteville/Northwest Arkansas CoC",2013,668,313,46.86
"Stockton/San Joaquin County CoC",2014,1588,744,46.85
"Decatur/Macon County CoC",2013,247,115,46.56
"Joliet, Bolingbrook/Will County CoC",2012,291,135,46.39
"Naples/Collier County CoC",2012,455,211,46.37
"Cumberland/Allegany County CoC",2012,110,51,46.36
"Atlanta CoC",2013,5536,2564,46.32
"Sioux City/Dakota, Woodbury Counties CoC",2013,236,109,46.19
"McHenry County CoC",2014,166,76,45.78
"Springfield/Sangamon County CoC",2012,251,114,45.42
"Kentucky Balance of State CoC",2012,2328,1055,45.32
"Indiana Balance of State CoC",2012,4612,2089,45.29
"South Central Illinois CoC",2014,118,53,44.92
"Decatur/Macon County CoC",2014,256,115,44.92
"Fall River CoC",2014,354,159,44.92
"Dekalb City & County CoC",2014,96,43,44.79
"Decatur/Macon County CoC",2012,210,94,44.76
"Metropolitan Denver CoC",2013,6316,2819,44.63
"Madison County CoC",2014,240,107,44.58
"Overland Park, Shawnee/Johnson County CoC",2014,167,74,44.31
"Louisville-Jefferson County CoC",2012,1532,676,44.13
"Napa City & County CoC",2012,248,109,43.95
"Overland Park, Shawnee/Johnson County CoC",2013,213,93,43.66
"Metropolitan Denver CoC",2014,6621,2885,43.57
"Bloomington/Central Illinois CoC",2012,668,291,43.56
"Phoenix, Mesa/Maricopa County CoC",2014,5918,2558,43.22
"Orlando/Orange, Osceola, Seminole Counties CoC",2014,2254,974,43.21
"Miami-Dade County CoC",2012,3976,1713,43.08
"Athens-Clarke County CoC",2014,247,106,42.91
"Athens-Clarke County CoC",2013,213,91,42.72
"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",2012,717,305,42.54
"Arizona Balance of State CoC",2014,2398,1019,42.49
"Iowa Balance of State CoC",2014,1939,816,42.08
"Atlanta CoC",2014,4797,1988,41.44
"Des Moines/Polk County CoC",2013,928,384,41.38
"West Central Illinois CoC",2014,145,60,41.38
"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",2013,678,280,41.30
"Cook County CoC",2013,1242,506,40.74
"Colorado Springs/El Paso County CoC",2013,1171,477,40.73
"Augusta-Richmond County CoC",2014,472,192,40.68
"Baltimore CoC",2013,2638,1061,40.22
"Des Moines/Polk County CoC",2012,818,328,40.10
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2012,921,369,40.07
"Sioux City/Dakota, Woodbury Counties CoC",2012,250,100,40.00
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2014,3391,1353,39.90
"Gadsden/Northeast Alabama CoC",2013,399,159,39.85
"Madison County CoC",2012,196,78,39.80
"Kansas Balance of State CoC",2012,1043,414,39.69
"Cook County CoC",2014,1182,468,39.59
"Iowa Balance of State CoC",2012,1860,736,39.57
"Alabama Balance of State CoC",2013,905,358,39.56
"Pasadena CoC",2012,904,354,39.16
"Lafayette/Acadiana CoC",2014,471,184,39.07
"Alexandria/Central Louisiana CoC",2014,141,55,39.01
"Glendale CoC",2013,318,124,38.99
"Imperial County CoC",2012,239,93,38.91
"Gadsden/Northeast Alabama CoC",2012,544,211,38.79
"Turlock, Modesto/Stanislaus County CoC",2014,1156,447,38.67
"Miami-Dade County CoC",2013,3802,1470,38.66
"Bakersfield/Kern County CoC",2014,992,382,38.51
"Metropolitan Denver CoC",2012,6358,2441,38.39
"Colorado Springs/El Paso County CoC",2012,1127,430,38.15
"Tallahassee/Leon County CoC",2014,805,307,38.14
"Citrus, Hernando, Lake, Sumter Counties CoC",2014,511,193,37.77
"Tallahassee/Leon County CoC",2013,974,367,37.68
"Arizona Balance of State CoC",2013,2435,915,37.58
"Lafayette/Acadiana CoC",2012,518,194,37.45
"Baltimore CoC",2014,2567,956,37.24
"Iowa Balance of State CoC",2013,1920,710,36.98
"Phoenix, Mesa/Maricopa County CoC",2013,5889,2177,36.97
"South Central Illinois CoC",2013,149,55,36.91
"Lexington-Fayette County CoC",2014,1544,566,36.66
"Glendale CoC",2014,292,107,36.64
"Colorado Springs/El Paso County CoC",2014,1219,443,36.34
"Phoenix, Mesa/Maricopa County CoC",2012,6485,2343,36.13
"West Central Illinois CoC",2013,133,48,36.09
"Tucson/Pima County CoC",2013,2238,801,35.79
"Rock Island, Moline/Northwestern Illinois CoC",2012,263,94,35.74
"Imperial County CoC",2013,252,89,35.32
"Arkansas  Balance of State  CoC",2014,1056,370,35.04
"Imperial County CoC",2014,298,104,34.90
"Madison County CoC",2013,201,70,34.83
"Louisiana Balance of State CoC",2014,876,304,34.70
"Monroe County CoC",2014,678,235,34.66
"Cook County CoC",2012,1242,430,34.62
"Pasadena CoC",2013,772,267,34.59
"Monroe County CoC",2013,652,225,34.51
"New Bedford CoC",2014,349,120,34.38
"West Central Illinois CoC",2012,172,59,34.30
"Augusta-Richmond County CoC",2013,476,163,34.24
"Lexington-Fayette County CoC",2013,1408,482,34.23
"McHenry County CoC",2013,185,63,34.05
"Atlanta CoC",2012,6811,2315,33.99
"El Dorado County CoC",2014,195,66,33.85
"Overland Park, Shawnee/Johnson County CoC",2012,288,97,33.68
"Alabama Balance of State CoC",2014,716,241,33.66
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2014,1377,463,33.62
"Mobile City & County/Baldwin County CoC",2012,634,212,33.44
"Ft Lauderdale/Broward County CoC",2014,2766,917,33.15
"DuPage County CoC",2014,654,216,33.03
"Panama City/Bay, Jackson Counties CoC",2012,322,106,32.92
"Bakersfield/Kern County CoC",2013,1152,378,32.81
"Chicago CoC",2013,6276,2058,32.79
"Tucson/Pima County CoC",2014,2179,714,32.77
"DuPage County CoC",2013,665,215,32.33
"Santa Maria/Santa Barbara County CoC",2012,1546,499,32.28
"Shreveport, Bossier/Northwest Louisiana CoC",2013,692,223,32.23
"Tucson/Pima County CoC",2012,2366,762,32.21
"Alexandria/Central Louisiana CoC",2013,118,38,32.20
"Colorado Balance of State CoC",2013,2267,729,32.16
"Pensacola/Escambia, Santa Rosa Counties CoC",2014,843,271,32.15
"Slidell/Southeast Louisiana CoC",2014,262,84,32.06
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2013,1049,335,31.94
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2014,630,201,31.90
"Little Rock/Central Arkansas CoC",2014,1074,342,31.84
"Sacramento City & County CoC",2013,2538,808,31.84
"Sacramento City & County CoC",2014,2449,774,31.60
"Santa Maria/Santa Barbara County CoC",2014,1832,576,31.44
"Glendale CoC",2012,299,94,31.44
"Slidell/Southeast Louisiana CoC",2013,276,86,31.16
"New Bedford CoC",2013,337,105,31.16
"Mobile City & County/Baldwin County CoC",2013,493,153,31.03
"Jacksonville-Duval, Clay Counties CoC",2013,2768,856,30.92
"Montgomery City & County CoC",2013,515,159,30.87
"Colorado Balance of State CoC",2014,2188,674,30.80
"Slidell/Southeast Louisiana CoC",2012,276,85,30.80
"Ocala/Marion County CoC",2013,530,163,30.75
"Humboldt County CoC",2012,846,260,30.73
"Marin County CoC",2014,679,208,30.63
"McHenry County CoC",2012,196,60,30.61
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2013,851,260,30.55
"Lafayette/Acadiana CoC",2013,542,165,30.44
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2012,3971,1191,29.99
"New Orleans/Jefferson Parish CoC",2014,1981,593,29.93
"Rockford/Winnebago, Boone Counties CoC",2012,727,217,29.85
"Sacramento City & County CoC",2012,2812,839,29.84
"San Francisco CoC",2012,5895,1757,29.80
"Chicago CoC",2014,6287,1864,29.65
"Jacksonville-Duval, Clay Counties CoC",2012,2861,842,29.43
"Lexington-Fayette County CoC",2012,1370,401,29.27
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2014,1329,387,29.12
"Fayetteville/Northwest Arkansas CoC",2012,186,54,29.03
"Rock Island, Moline/Northwestern Illinois CoC",2014,218,63,28.90
"Monroe/Northeast Louisiana CoC",2014,220,63,28.64
"Ft Myers, Cape Coral/Lee County CoC",2014,871,249,28.59
"Monroe/Northeast Louisiana CoC",2012,257,73,28.40
"Fayetteville/Northwest Arkansas CoC",2014,551,156,28.31
"Idaho Balance of State CoC",2013,1087,307,28.24
"Turlock, Modesto/Stanislaus County CoC",2013,1201,337,28.06
"Rockford/Winnebago, Boone Counties CoC",2013,788,221,28.05
"Ft Myers, Cape Coral/Lee County CoC",2013,848,236,27.83
"Marin County CoC",2013,676,188,27.81
"New Bedford CoC",2012,374,104,27.81
"Marin County CoC",2012,725,201,27.72
"Ft Lauderdale/Broward County CoC",2013,2810,778,27.69
"Alexandria/Central Louisiana CoC",2012,188,52,27.66
"Champaign, Urbana, Rantoul/Champaign County CoC",2013,214,59,27.57
"San Francisco CoC",2013,7008,1919,27.38
"Bakersfield/Kern County CoC",2012,1352,368,27.22
"East St. Louis, Belleville/St. Clair County CoC",2014,339,92,27.14
"Yuba City & County/Sutter County CoC",2012,492,133,27.03
"Santa Ana, Anaheim/Orange County CoC",2013,4251,1145,26.93
"Marietta/Cobb County CoC",2014,523,139,26.58
"Chicago CoC",2012,6710,1783,26.57
"Colusa, Glenn, Trinity Counties CoC",2012,303,80,26.40
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2013,3913,1033,26.40
"Little Rock/Central Arkansas CoC",2012,1249,329,26.34
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2013,376,99,26.33
"Cumberland/Allegany County CoC",2013,76,20,26.32
"Colusa, Glenn, Trinity Counties CoC",2013,696,183,26.29
"DuPage County CoC",2012,641,168,26.21
"Citrus, Hernando, Lake, Sumter Counties CoC",2013,709,185,26.09
"Visalia/Kings, Tulare Counties CoC",2013,705,182,25.82
"Lakeland, Winterhaven/Polk County CoC",2014,536,138,25.75
"Panama City/Bay, Jackson Counties CoC",2014,268,69,25.75
"Shreveport, Bossier/Northwest Louisiana CoC",2014,655,168,25.65
"Pensacola/Escambia, Santa Rosa Counties CoC",2013,945,242,25.61
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2013,1469,373,25.39
"DeKalb County CoC",2014,801,203,25.34
"Chico, Paradise/Butte County CoC",2013,712,179,25.14
"Davis, Woodland/Yolo County CoC",2014,442,111,25.11
"Santa Maria/Santa Barbara County CoC",2013,1882,471,25.03
"Monroe County CoC",2012,922,230,24.95
"Vallejo/Solano County CoC",2012,622,154,24.76
"New Orleans/Jefferson Parish CoC",2013,2337,578,24.73
"Chico, Paradise/Butte County CoC",2014,696,171,24.57
"Monroe/Northeast Louisiana CoC",2013,200,49,24.50
"Montgomery City & County CoC",2014,490,120,24.49
"Louisiana Balance of State CoC",2012,826,201,24.33
"Ft Lauderdale/Broward County CoC",2012,3183,774,24.32
"San Francisco CoC",2014,6408,1522,23.75
"Rock Island, Moline/Northwestern Illinois CoC",2013,219,52,23.74
"Marietta/Cobb County CoC",2012,392,93,23.72
"Idaho Balance of State CoC",2012,1214,288,23.72
"Ft Myers, Cape Coral/Lee County CoC",2012,781,184,23.56
"Louisiana Balance of State CoC",2013,1061,250,23.56
"Orlando/Orange, Osceola, Seminole Counties CoC",2012,3661,856,23.38
"Roseville, Rocklin/Placer, Nevada Counties CoC",2012,742,172,23.18
"Yuba City & County/Sutter County CoC",2013,1485,344,23.16
"Merced City & County CoC",2013,372,86,23.12
"Savannah/Chatham County CoC",2013,1165,269,23.09
"Little Rock/Central Arkansas CoC",2013,1066,244,22.89
"Los Angeles City & County CoC",2012,31553,7173,22.73
"Lakeland, Winterhaven/Polk County CoC",2013,520,118,22.69
"Davis, Woodland/Yolo County CoC",2013,474,107,22.57
"Baltimore CoC",2012,3854,867,22.50
"Savannah/Chatham County CoC",2014,1315,294,22.36
"San Bernardino City & County CoC",2013,2321,518,22.32
"Idaho Balance of State CoC",2014,1351,300,22.21
"Santa Ana, Anaheim/Orange County CoC",2014,3833,851,22.20
"Turlock, Modesto/Stanislaus County CoC",2012,1470,322,21.90
"Marietta/Cobb County CoC",2013,495,108,21.82
"Roseville, Rocklin/Placer, Nevada Counties CoC",2014,762,166,21.78
"Chico, Paradise/Butte County CoC",2012,897,195,21.74
"Roseville, Rocklin/Placer, Nevada Counties CoC",2013,908,196,21.59
"Pensacola/Escambia, Santa Rosa Counties CoC",2012,792,171,21.59
"Honolulu City and County CoC",2013,4556,982,21.55
"Oakland, Berkeley/Alameda County CoC",2013,4264,914,21.44
"Arkansas  Balance of State  CoC",2013,1760,376,21.36
"Orlando/Orange, Osceola, Seminole Counties CoC",2013,4378,929,21.22
"Visalia/Kings, Tulare Counties CoC",2014,763,161,21.10
"Richmond/Contra Costa County CoC",2014,2009,423,21.06
"Shreveport, Bossier/Northwest Louisiana CoC",2012,804,169,21.02
"Oakland, Berkeley/Alameda County CoC",2014,4272,895,20.95
"Savannah/Chatham County CoC",2012,1118,234,20.93
"Pasadena CoC",2014,666,138,20.72
"Richmond/Contra Costa County CoC",2013,2000,414,20.70
"Arkansas  Balance of State  CoC",2012,1930,399,20.67
"Oakland, Berkeley/Alameda County CoC",2012,4257,866,20.34
