Location,Year,Total,SafeHaven_Housing,Percentage
"Los Angeles City & County CoC",2012,31553,22,0.07
"Los Angeles City & County CoC",2014,34393,21,0.06
"Los Angeles City & County CoC",2013,35524,21,0.06
"Anchorage CoC",2014,1023,0,0.00
"Anchorage CoC",2013,1122,0,0.00
"Anchorage CoC",2012,1147,0,0.00
"Alaska Balance of State CoC",2014,761,0,0.00
"Alaska Balance of State CoC",2013,824,0,0.00
"Alaska Balance of State CoC",2012,766,0,0.00
"Mobile City & County/Baldwin County CoC",2014,598,0,0.00
"Mobile City & County/Baldwin County CoC",2013,493,0,0.00
"Mobile City & County/Baldwin County CoC",2012,634,0,0.00
"Florence/Northwest Alabama CoC",2014,209,0,0.00
"Florence/Northwest Alabama CoC",2013,223,0,0.00
"Florence/Northwest Alabama CoC",2012,192,0,0.00
"Huntsville/North Alabama CoC",2014,536,0,0.00
"Huntsville/North Alabama CoC",2013,586,0,0.00
"Huntsville/North Alabama CoC",2012,607,0,0.00
"Montgomery City & County CoC",2014,490,0,0.00
"Montgomery City & County CoC",2013,515,0,0.00
"Montgomery City & County CoC",2012,487,0,0.00
"Gadsden/Northeast Alabama CoC",2014,438,0,0.00
"Gadsden/Northeast Alabama CoC",2013,399,0,0.00
"Gadsden/Northeast Alabama CoC",2012,544,0,0.00
"Tuscaloosa City & County CoC",2014,245,0,0.00
"Tuscaloosa City & County CoC",2013,99,0,0.00
"Tuscaloosa City & County CoC",2012,152,0,0.00
"Alabama Balance of State CoC",2014,716,0,0.00
"Alabama Balance of State CoC",2013,905,0,0.00
"Alabama Balance of State CoC",2012,886,0,0.00
"Little Rock/Central Arkansas CoC",2014,1074,0,0.00
"Little Rock/Central Arkansas CoC",2013,1066,0,0.00
"Little Rock/Central Arkansas CoC",2012,1249,0,0.00
"Fayetteville/Northwest Arkansas CoC",2014,551,0,0.00
"Fayetteville/Northwest Arkansas CoC",2013,668,0,0.00
"Fayetteville/Northwest Arkansas CoC",2012,186,0,0.00
"Arkansas  Balance of State  CoC",2014,1056,0,0.00
"Arkansas  Balance of State  CoC",2013,1760,0,0.00
"Arkansas  Balance of State  CoC",2012,1930,0,0.00
"Delta Hills CoC",2013,254,0,0.00
"Delta Hills CoC",2012,785,0,0.00
"Southeast Arkansas CoC",2014,70,0,0.00
"Southeast Arkansas CoC",2013,64,0,0.00
"Southeast Arkansas CoC",2012,64,0,0.00
"Fort Smith CoC",2014,185,0,0.00
"Arizona Balance of State CoC",2014,2398,0,0.00
"Arizona Balance of State CoC",2013,2435,0,0.00
"Arizona Balance of State CoC",2012,2451,0,0.00
"Oakland, Berkeley/Alameda County CoC",2014,4272,0,0.00
"Oakland, Berkeley/Alameda County CoC",2013,4264,0,0.00
"Oakland, Berkeley/Alameda County CoC",2012,4257,0,0.00
"Sacramento City & County CoC",2014,2449,0,0.00
"Sacramento City & County CoC",2013,2538,0,0.00
"Sacramento City & County CoC",2012,2812,0,0.00
"Santa Rosa, Petaluma/Sonoma County CoC",2014,4266,0,0.00
"Santa Rosa, Petaluma/Sonoma County CoC",2013,4280,0,0.00
"Santa Rosa, Petaluma/Sonoma County CoC",2012,4483,0,0.00
"Richmond/Contra Costa County CoC",2014,2009,0,0.00
"Richmond/Contra Costa County CoC",2013,2000,0,0.00
"Richmond/Contra Costa County CoC",2012,2386,0,0.00
"Salinas/Monterey, San Benito Counties CoC",2014,2962,0,0.00
"Salinas/Monterey, San Benito Counties CoC",2013,2955,0,0.00
"Salinas/Monterey, San Benito Counties CoC",2012,2673,0,0.00
"Marin County CoC",2014,679,0,0.00
"Marin County CoC",2013,676,0,0.00
"Marin County CoC",2012,725,0,0.00
"Watsonville/Santa Cruz City & County CoC",2014,3529,0,0.00
"Watsonville/Santa Cruz City & County CoC",2013,3536,0,0.00
"Watsonville/Santa Cruz City & County CoC",2012,2735,0,0.00
"Mendocino County CoC",2014,1404,0,0.00
"Mendocino County CoC",2013,1392,0,0.00
"Mendocino County CoC",2012,1441,0,0.00
"Turlock, Modesto/Stanislaus County CoC",2014,1156,0,0.00
"Turlock, Modesto/Stanislaus County CoC",2013,1201,0,0.00
"Turlock, Modesto/Stanislaus County CoC",2012,1470,0,0.00
"Stockton/San Joaquin County CoC",2014,1588,0,0.00
"Stockton/San Joaquin County CoC",2013,1541,0,0.00
"Stockton/San Joaquin County CoC",2012,1569,0,0.00
"Daly/San Mateo County CoC",2014,2024,0,0.00
"Daly/San Mateo County CoC",2013,1995,0,0.00
"Daly/San Mateo County CoC",2012,1845,0,0.00
"Visalia/Kings, Tulare Counties CoC",2014,763,0,0.00
"Visalia/Kings, Tulare Counties CoC",2013,705,0,0.00
"Visalia/Kings, Tulare Counties CoC",2012,771,0,0.00
"Roseville, Rocklin/Placer, Nevada Counties CoC",2014,762,0,0.00
"Roseville, Rocklin/Placer, Nevada Counties CoC",2013,908,0,0.00
"Roseville, Rocklin/Placer, Nevada Counties CoC",2012,742,0,0.00
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2014,630,0,0.00
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2013,851,0,0.00
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2012,524,0,0.00
"Napa City & County CoC",2014,285,0,0.00
"Napa City & County CoC",2013,245,0,0.00
"Napa City & County CoC",2012,248,0,0.00
"Vallejo/Solano County CoC",2014,1295,0,0.00
"Vallejo/Solano County CoC",2013,1329,0,0.00
"Vallejo/Solano County CoC",2012,622,0,0.00
"Chico, Paradise/Butte County CoC",2014,696,0,0.00
"Chico, Paradise/Butte County CoC",2013,712,0,0.00
"Chico, Paradise/Butte County CoC",2012,897,0,0.00
"Merced City & County CoC",2014,768,0,0.00
"Merced City & County CoC",2013,372,0,0.00
"Merced City & County CoC",2012,502,0,0.00
"Davis, Woodland/Yolo County CoC",2014,442,0,0.00
"Davis, Woodland/Yolo County CoC",2013,474,0,0.00
"Davis, Woodland/Yolo County CoC",2012,513,0,0.00
"Humboldt County CoC",2014,932,0,0.00
"Humboldt County CoC",2013,864,0,0.00
"Humboldt County CoC",2012,846,0,0.00
"Colusa, Glenn, Trinity Counties CoC",2014,567,0,0.00
"Colusa, Glenn, Trinity Counties CoC",2013,696,0,0.00
"Colusa, Glenn, Trinity Counties CoC",2012,303,0,0.00
"Yuba City & County/Sutter County CoC",2014,726,0,0.00
"Yuba City & County/Sutter County CoC",2013,1485,0,0.00
"Yuba City & County/Sutter County CoC",2012,492,0,0.00
"El Dorado County CoC",2014,195,0,0.00
"El Dorado County CoC",2013,180,0,0.00
"El Dorado County CoC",2012,217,0,0.00
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2014,382,0,0.00
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2013,376,0,0.00
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2012,379,0,0.00
"Del Norte County CoC",2012,437,0,0.00
"Santa Ana, Anaheim/Orange County CoC",2014,3833,0,0.00
"Santa Ana, Anaheim/Orange County CoC",2013,4251,0,0.00
"Santa Ana, Anaheim/Orange County CoC",2012,7010,0,0.00
